,Cust_ID,Age,duration,Min_balance,spend_per_month,job,marital,education,dbscan_labels
0,1001,56,261,42058,24994,housemaid,married,basic.4y,0
1,1002,23,148,1580,22171,services,married,high.school,1
2,1003,37,226,64919,6094,services,married,high.school,0
3,1004,37,135,1151,15646,admin.,married,basic.6y,1
4,1005,56,307,42359,26907,services,married,high.school,0
5,1006,28,109,1515,20890,services,married,basic.9y,1
6,1007,59,139,41595,28355,admin.,married,professional.course,0
7,1009,24,380,47625,48012,technician,single,professional.course,0
8,1010,32,46,3665,22043,services,single,high.school,2
9,1012,44,86,201,19595,services,single,high.school,2
10,1013,29,137,63273,23336,blue-collar,single,high.school,0
11,1014,57,293,67694,14661,housemaid,divorced,basic.4y,0
12,1015,35,146,66871,32502,blue-collar,married,basic.6y,0
13,1016,44,72,3615,15263,retired,married,basic.9y,1
14,1017,35,312,53083,35838,blue-collar,married,basic.6y,0
15,1018,43,133,1336,14423,blue-collar,married,basic.6y,1
16,1019,50,353,51785,30780,blue-collar,married,basic.9y,0
17,1020,39,195,48858,21062,management,single,basic.9y,-1
18,1021,30,38,44736,40680,unemployed,married,high.school,0
19,1022,55,262,48735,45327,blue-collar,married,basic.4y,0
20,1023,55,342,61543,47252,retired,single,high.school,0
21,1024,25,72,2658,20368,technician,single,high.school,2
22,1025,31,88,2991,11822,admin.,married,high.school,1
23,1026,40,38,449,16287,technician,married,university.degree,1
24,1028,39,233,55016,10969,self-employed,married,basic.9y,0
25,1029,29,28,306,24349,technician,single,university.degree,3
26,1034,54,230,53344,40892,management,married,basic.4y,0
27,1035,54,208,46971,27021,blue-collar,divorced,basic.4y,0
28,1037,28,145,1994,16547,services,married,high.school,1
29,1038,52,1666,66522,20276,technician,married,basic.9y,0
30,1039,33,30,949,15989,admin.,married,university.degree,1
31,1040,56,137,69291,5157,technician,married,basic.4y,0
32,1042,34,107,586,15512,entrepreneur,married,high.school,1
33,1043,38,106,1938,20384,admin.,single,professional.course,3
34,1044,22,61,2253,12442,admin.,married,university.degree,1
35,1045,44,188,66781,41112,admin.,married,university.degree,0
36,1046,33,114,1354,20939,technician,single,professional.course,3
37,1047,57,616,67286,47998,admin.,married,university.degree,0
38,1048,40,178,43272,29824,blue-collar,married,basic.9y,0
39,1049,35,355,44360,30941,admin.,married,university.degree,0
