Cust_ID,Age,duration,Min_balance,spend_per_month,job,marital,education
1001,56,261,42058,24994,housemaid,married,basic.4y
1002,23,148,1580,22171,services,married,high.school
1003,37,226,64919,6094,services,married,high.school
1004,37,135,1151,15646,admin.,married,basic.6y
1005,56,307,42359,26907,services,married,high.school
1006,28,109,1515,20890,services,married,basic.9y
1007,59,139,41595,28355,admin.,married,professional.course
1009,24,380,47625,48012,technician,single,professional.course
1010,32,46,3665,22043,services,single,high.school
1012,44,86,201,19595,services,single,high.school
1013,29,137,63273,23336,blue-collar,single,high.school
1014,57,293,67694,14661,housemaid,divorced,basic.4y
1015,35,146,66871,32502,blue-collar,married,basic.6y
1016,44,72,3615,15263,retired,married,basic.9y
1017,35,312,53083,35838,blue-collar,married,basic.6y
1018,43,133,1336,14423,blue-collar,married,basic.6y
1019,50,353,51785,30780,blue-collar,married,basic.9y
1020,39,195,48858,21062,management,single,basic.9y
1021,30,38,44736,40680,unemployed,married,high.school
1022,55,262,48735,45327,blue-collar,married,basic.4y
1023,55,342,61543,47252,retired,single,high.school
1024,25,72,2658,20368,technician,single,high.school
1025,31,88,2991,11822,admin.,married,high.school
1026,40,38,449,16287,technician,married,university.degree
1028,39,233,55016,10969,self-employed,married,basic.9y
1029,29,28,306,24349,technician,single,university.degree
1034,54,230,53344,40892,management,married,basic.4y
1035,54,208,46971,27021,blue-collar,divorced,basic.4y
1037,28,145,1994,16547,services,married,high.school
1038,52,1666,66522,20276,technician,married,basic.9y
1039,33,30,949,15989,admin.,married,university.degree
1040,56,137,69291,5157,technician,married,basic.4y
1042,34,107,586,15512,entrepreneur,married,high.school
1043,38,106,1938,20384,admin.,single,professional.course
1044,22,61,2253,12442,admin.,married,university.degree
1045,44,188,66781,41112,admin.,married,university.degree
1046,33,114,1354,20939,technician,single,professional.course
1047,57,616,67286,47998,admin.,married,university.degree
1048,40,178,43272,29824,blue-collar,married,basic.9y
1049,35,355,44360,30941,admin.,married,university.degree
1050,41,121,692,14568,blue-collar,married,basic.9y
1051,40,64,327,18445,admin.,married,high.school
1052,39,266,53461,37577,housemaid,married,basic.4y
1053,32,95,700,11170,admin.,married,high.school
1054,28,60,1613,17423,admin.,single,professional.course
