Age,duration,Min_balance,spend_per_month
56,261,42058,24994
57,149,36022,5179
37,226,64919,6094
40,151,16241,41296
56,307,42359,26907
45,198,17662,48072
59,139,41595,28355
41,217,65253,41539
24,380,47625,48012
25,50,30010,23942
41,55,33381,12113
25,222,16487,34320
29,137,63273,23336
57,293,67694,14661
35,146,66871,32502
54,174,15413,39913
35,312,53083,35838
46,440,37991,28362
50,353,51785,30780
39,195,48858,21062
30,38,44736,40680
55,262,48735,45327
55,342,61543,47252
41,181,11441,46313
37,172,27885,26436
35,99,31053,25000
59,93,22679,48764
39,233,55016,10969
54,255,16385,18163
55,362,39884,16129
46,348,54148,36806
59,386,34592,47730
49,73,56554,36760
54,230,53344,40892
54,208,46971,27021
55,336,66222,27943
34,365,27081,31963
52,1666,66522,20276
41,577,38363,14489
56,137,69291,5157
58,366,33775,13397
32,314,25295,46088
38,160,17048,16560
57,212,35533,10210
44,188,66781,41112
42,22,12975,38880
57,616,67286,47998
40,178,43272,29824
35,355,44360,30941
45,225,35592,24047
54,160,28882,28406
39,266,53461,37577
60,253,21387,47945
53,179,15490,42766
55,269,61839,10100
55,135,10572,35890
50,161,32869,41249
45,787,33363,48300
55,145,53863,49120
25,174,43412,14409
47,449,42958,44578
51,812,53584,13401
42,164,60658,44093
42,366,33430,48873
48,357,16362,21897
37,232,52484,27223
44,91,37314,17465
33,273,18727,6858
56,158,26820,6599
44,177,61739,14760
41,200,41767,43981
44,172,65127,30759
47,176,22851,21571
57,211,63116,27923
37,214,52211,22132
41,1575,36035,42508
55,349,38579,39992
33,337,43011,31818
55,272,10291,21725
42,208,66296,12334
50,193,55139,30450
51,212,21938,37005
38,165,34658,20464
49,1042,61412,25558
38,20,18043,9112
31,246,42232,46760
41,529,49571,28242
39,192,35850,24115
49,1467,22014,48303
34,188,30983,45095
35,180,16562,46787
57,48,18401,17507
60,213,48204,25557
33,545,27286,11015
42,583,44237,16832
45,221,23714,22500
42,426,40240,12581
53,287,33091,33840
37,197,54913,12971
44,257,23769,24278
54,229,47589,12743
49,55,63561,6402
54,400,32566,45432
52,197,51834,35680
52,190,57368,38771
43,21,59955,28357
34,300,28131,24580
35,123,36546,18180
42,293,50044,11817
43,325,18215,26724
60,514,43150,7023
58,849,23411,39337
35,194,27728,18211
55,212,17768,5150
37,337,15888,31966
36,286,25971,45754
52,247,55975,47607
57,518,59912,40805
56,364,44373,35959
48,178,13007,23446
40,98,31238,7360
49,439,65552,30805
41,139,63293,38271
45,79,55158,44080
32,175,58825,48580
42,262,20673,46772
50,61,57154,23876
31,78,23387,43686
56,102,22622,33371
41,579,35288,23409
37,143,61395,41656
41,677,18277,40171
35,267,56477,31246
37,345,16517,14845
52,185,22432,49930
39,207,34201,32490
39,69,68136,20422
56,100,36563,19101
34,125,27945,12203
45,461,16751,47325
43,240,54093,32293
56,70,34826,23952
39,193,16730,39197
53,136,29039,34656
38,73,24251,33901
42,528,63742,22548
42,541,55516,8180
35,338,52952,12002
40,163,48786,10153
51,87,54640,22043
60,301,35029,19187
56,46,12357,22569
39,52,38009,38823
56,204,69587,37721
40,155,42106,16844
36,98,17915,19853
51,71,33874,48002
51,243,26350,41165
43,186,34238,37368
59,579,42240,10009
24,165,14293,45296
37,163,28662,28731
40,46,37897,19006
42,559,34845,6330
39,2033,54644,22095
37,85,26875,46061
38,506,46526,19037
56,114,69064,43300
40,114,28867,23253
54,843,28695,26335
43,181,55895,14868
36,427,69405,28930
45,292,17048,15296
42,192,26746,33618
43,93,32725,20653
46,128,55401,12414
44,107,10232,13670
51,303,55718,34210
28,81,36607,36148
37,270,26131,22099
34,228,16493,18374
46,240,65589,27034
42,673,33137,22193
36,233,18390,19266
54,102,11374,6833
57,461,49418,11540
51,250,30420,48467
54,130,57501,39212
49,252,46044,44956
34,138,47641,28942
41,412,53361,30889
38,179,52270,24651
45,19,20151,11539
42,228,60627,21871
34,55,41938,34131
48,717,12262,9083
37,313,69111,15130
34,289,62035,24216
40,683,23535,18824
43,1077,51242,13517
33,146,24633,29705
32,167,18795,28914
39,356,24900,13374
43,277,67522,28826
44,172,64607,42167
35,218,12611,31223
35,217,44759,44549
35,67,69628,38706
36,291,58884,20860
35,248,34993,22216
36,256,19173,13501
55,286,51030,13047
59,477,13063,11760
57,611,35119,27671
39,471,33133,33004
39,381,60565,16689
30,251,42124,34001
30,408,36245,12531
50,287,64503,32651
40,322,64170,10623
35,216,63364,45554
43,366,61273,44663
36,210,16682,43785
46,288,49013,21109
40,168,54748,17373
58,132,37639,18945
42,64,47502,18792
35,209,33116,20539
43,410,13900,37285
45,177,27650,45222
39,580,42322,13754
50,165,50939,8530
32,127,39502,23532
39,357,36958,33334
52,175,59421,13692
44,300,18018,43463
56,136,61440,26909
48,125,33148,22500
33,189,48051,8028
43,213,45600,46017
57,238,46856,44008
36,124,62309,25814
34,18,21381,25119
34,730,52800,30875
30,40,41863,41473
33,181,56044,15272
32,79,15756,30835
36,142,56867,14637
36,389,41751,25800
33,702,46810,13256
40,151,16255,41437
41,211,35397,27352
51,117,40983,23531
36,232,31951,27152
28,408,34487,19180
53,370,67135,30661
58,179,19679,26130
45,46,61149,15309
43,200,58663,38546
33,50,34753,31634
33,181,26182,15694
27,119,45014,22071
42,361,33808,30484
43,73,61168,20754
42,67,48984,34991
27,350,46526,17214
34,150,56990,19628
31,332,34637,49071
54,611,52756,15628
40,58,27169,23302
52,151,34544,37787
47,89,11136,32246
49,152,49958,18814
32,611,63475,33716
49,110,61045,41020
50,463,46174,9066
34,962,33247,43873
55,102,62710,33762
47,10,43685,10827
51,118,28933,44690
47,92,16509,34508
56,143,40398,43496
53,189,61132,19078
36,75,14505,21090
42,189,62597,14910
44,55,34026,19384
39,935,32424,43385
37,56,19824,41492
60,5,51811,28465
36,225,47321,10603
42,125,67422,8184
31,286,45666,10091
53,206,61616,45388
45,164,34416,5535
37,98,61227,12397
47,446,18588,37811
49,742,23231,32513
36,120,25397,23584
35,122,25979,16540
38,362,35251,12113
38,357,34008,20970
50,200,36879,30404
59,107,34853,37533
43,267,38073,26263
42,248,37345,26340
40,215,52538,27815
46,209,61998,21506
57,205,19668,19911
42,261,40052,45082
41,83,47380,31827
54,106,47654,48975
27,106,10324,36808
36,108,67628,14834
58,214,16808,16829
40,358,38363,45601
34,453,32103,34650
33,364,57097,47741
56,136,18156,27676
42,173,23408,10691
43,241,39150,9942
54,224,34335,37994
53,148,26249,28662
42,230,54310,35776
40,199,16010,43776
54,196,27984,28360
40,111,58637,20390
26,231,48849,26442
