job,marital,education,housing,loan
housemaid,married,basic.4y,no,no
services,married,high.school,no,no
services,married,high.school,yes,no
admin.,married,basic.6y,no,no
services,married,high.school,no,yes
services,married,basic.9y,no,no
admin.,married,professional.course,no,no
technician,single,professional.course,yes,no
services,single,high.school,yes,no
services,single,high.school,yes,no
blue-collar,single,high.school,no,yes
housemaid,divorced,basic.4y,yes,no
blue-collar,married,basic.6y,yes,no
retired,married,basic.9y,yes,yes
blue-collar,married,basic.6y,yes,no
blue-collar,married,basic.6y,yes,yes
blue-collar,married,basic.9y,yes,yes
management,single,basic.9y,no,no
unemployed,married,high.school,no,no
blue-collar,married,basic.4y,yes,no
retired,single,high.school,yes,no
technician,single,high.school,yes,no
admin.,married,high.school,yes,no
technician,married,university.degree,no,yes
self-employed,married,basic.9y,no,no
technician,single,university.degree,no,no
management,married,basic.4y,yes,no
blue-collar,divorced,basic.4y,no,no
services,married,high.school,no,no
technician,married,basic.9y,yes,no
admin.,married,university.degree,yes,no
technician,married,basic.4y,yes,no
entrepreneur,married,high.school,yes,no
admin.,single,professional.course,no,no
admin.,married,university.degree,no,yes
admin.,married,university.degree,yes,no
technician,single,professional.course,no,no
admin.,married,university.degree,yes,yes
blue-collar,married,basic.9y,no,yes
admin.,married,university.degree,yes,no
blue-collar,married,basic.9y,yes,no
admin.,married,high.school,no,no
housemaid,married,basic.4y,no,yes
admin.,married,high.school,no,no
admin.,single,professional.course,no,no
blue-collar,married,basic.4y,no,no
technician,married,professional.course,yes,no
management,married,university.degree,no,yes
services,married,high.school,yes,no
unemployed,married,professional.course,yes,yes
technician,single,university.degree,yes,no
entrepreneur,married,university.degree,no,no
blue-collar,married,basic.9y,yes,no
blue-collar,married,basic.6y,yes,no
blue-collar,married,basic.6y,no,no
admin.,married,high.school,no,no
admin.,married,university.degree,no,no
blue-collar,single,basic.9y,yes,no
admin.,married,basic.9y,yes,no
blue-collar,single,basic.4y,yes,yes
management,married,basic.6y,no,no
management,divorced,university.degree,yes,no
admin.,married,university.degree,yes,no
admin.,married,university.degree,yes,no
blue-collar,divorced,basic.4y,yes,no
technician,married,university.degree,no,no
services,married,high.school,yes,no
blue-collar,married,basic.9y,no,no
blue-collar,married,basic.4y,yes,no
admin.,married,high.school,no,no
entrepreneur,married,university.degree,yes,no
technician,single,university.degree,no,yes
admin.,divorced,high.school,no,no
management,married,basic.6y,no,no
admin.,married,university.degree,yes,yes
technician,married,basic.9y,no,no
admin.,married,high.school,yes,no
admin.,married,university.degree,yes,no
unemployed,married,basic.9y,no,no
blue-collar,married,basic.6y,no,yes
services,married,professional.course,yes,no
management,married,university.degree,no,no
admin.,divorced,university.degree,no,no
technician,single,professional.course,no,no
blue-collar,married,basic.6y,no,no
blue-collar,married,basic.4y,no,no
admin.,divorced,university.degree,no,no
admin.,divorced,university.degree,no,no
services,single,high.school,no,no
housemaid,married,basic.6y,yes,no
admin.,married,high.school,yes,no
retired,divorced,university.degree,no,no
unemployed,married,basic.4y,no,no
services,divorced,high.school,yes,no
blue-collar,married,basic.9y,yes,no
management,married,university.degree,no,no
blue-collar,married,high.school,no,no
admin.,divorced,university.degree,no,no
blue-collar,divorced,basic.4y,yes,no
blue-collar,married,high.school,yes,no
blue-collar,divorced,high.school,no,no
services,married,high.school,no,no
technician,married,high.school,yes,no
admin.,married,university.degree,yes,yes
admin.,married,university.degree,no,yes
