Age,duration,Min_balance,spend_per_month
56,261,42058,24994
23,148,1580,22171
37,226,64919,6094
37,135,1151,15646
56,307,42359,26907
28,109,1515,20890
59,139,41595,28355
41,217,65253,41539
24,380,47625,48012
32,46,3665,22043
42,30,927,11269
44,86,201,19595
29,137,63273,23336
57,293,67694,14661
35,146,66871,32502
44,72,3615,15263
35,312,53083,35838
43,133,1336,14423
50,353,51785,30780
39,195,48858,21062
30,38,44736,40680
55,262,48735,45327
55,342,61543,47252
25,72,2658,20368
31,88,2991,11822
40,38,449,16287
27,108,1759,15373
39,233,55016,10969
29,28,306,24349
33,98,2002,13298
46,348,54148,36806
43,129,876,19014
49,73,56554,36760
54,230,53344,40892
54,208,46971,27021
55,336,66222,27943
28,145,1994,16547
52,1666,66522,20276
33,30,949,15989
56,137,69291,5157
37,46,2676,11291
34,107,586,15512
38,106,1938,20384
22,61,2253,12442
44,188,66781,41112
33,114,1354,20939
57,616,67286,47998
40,178,43272,29824
35,355,44360,30941
41,121,692,14568
40,64,327,18445
39,266,53461,37577
32,95,700,11170
28,60,1613,17423
55,269,61839,10100
36,115,3219,15458
21,90,3159,22310
33,25,2155,19172
55,145,53863,49120
25,174,43412,14409
47,449,42958,44578
51,812,53584,13401
42,164,60658,44093
41,109,3879,23717
33,118,3776,17492
37,232,52484,27223
44,64,3899,18160
29,35,2709,19713
36,28,1706,18412
44,177,61739,14760
41,200,41767,43981
44,172,65127,30759
22,142,1892,11966
57,211,63116,27923
37,214,52211,22132
22,135,2228,24472
33,29,1896,16979
33,337,43011,31818
43,106,684,14840
42,208,66296,12334
50,193,55139,30450
36,150,3058,12330
35,122,3437,16009
49,1042,61412,25558
43,90,2980,11906
31,246,42232,46760
41,529,49571,28242
22,76,138,22848
23,48,891,19474
28,77,327,15363
37,105,3160,22234
36,28,3294,18191
60,213,48204,25557
32,39,1904,14897
42,583,44237,16832
25,32,3956,15013
42,426,40240,12581
33,101,1241,19082
37,197,54913,12971
26,28,929,21104
54,229,47589,12743
49,55,63561,6402
26,116,673,13846
52,197,51834,35680
52,190,57368,38771
43,21,59955,28357
30,41,1894,20937
22,33,3812,16460
42,293,50044,11817
32,92,2039,19172
60,514,43150,7023
43,72,1588,18705
29,98,3594,17979
34,108,2761,13110
25,148,2990,14066
41,67,2318,16936
52,247,55975,47607
57,518,59912,40805
56,364,44373,35959
26,75,3872,23349
29,102,3555,22613
49,439,65552,30805
41,139,63293,38271
45,79,55158,44080
32,175,58825,48580
23,86,510,13616
50,61,57154,23876
21,148,3791,20908
44,131,46,12351
28,75,841,23440
37,143,61395,41656
43,106,1233,23267
35,267,56477,31246
29,77,1505,12930
38,101,263,12028
21,52,2872,20583
39,69,68136,20422
44,97,3310,14608
44,143,2694,16834
34,144,742,14354
43,240,54093,32293
43,81,2087,15277
43,124,3815,13017
28,135,2871,17219
37,38,1,12166
42,528,63742,22548
42,541,55516,8180
35,338,52952,12002
40,163,48786,10153
51,87,54640,22043
32,63,823,18829
33,58,1827,23060
31,65,583,23542
56,204,69587,37721
40,155,42106,16844
23,100,653,16165
33,89,2764,14771
39,141,633,20162
42,53,1158,22070
59,579,42240,10009
25,148,2944,11977
26,63,381,20200
31,150,3018,12532
34,93,2342,24605
39,2033,54644,22095
30,28,3871,11895
38,506,46526,19037
56,114,69064,43300
44,136,1556,14146
30,84,366,17459
43,181,55895,14868
36,427,69405,28930
30,119,3173,23882
26,85,2203,14365
42,150,2643,15757
46,128,55401,12414
24,53,2098,21463
51,303,55718,34210
37,105,3968,18445
26,32,1349,23371
41,38,1547,13986
46,240,65589,27034
40,108,3693,13806
29,35,3358,19579
42,99,196,15024
57,461,49418,11540
28,107,1242,20481
54,130,57501,39212
49,252,46044,44956
34,138,47641,28942
41,412,53361,30889
38,179,52270,24651
32,60,495,14328
42,228,60627,21871
34,55,41938,34131
28,49,2175,23306
37,313,69111,15130
34,289,62035,24216
21,72,1383,13199
43,1077,51242,13517
40,148,3365,16880
36,56,3847,19883
45,40,2272,19267
43,277,67522,28826
44,172,64607,42167
26,76,1942,22384
