Car_Name,Aspirational_Value,Age,km_driven,fuel,seller_type,transmission,owner,selling_price
Maruti 800,General,15,70000,Petrol,Individual,Manual,First_Owner,60000
WagonR,General,15,50000,Petrol,Individual,Manual,First_Owner,135000
Verna,General,10,100000,Diesel,Individual,Manual,First_Owner,600000
RediGO,General,5,46000,Petrol,Individual,Manual,First_Owner,250000
Amaze,General,8,141000,Diesel,Individual,Manual,Second_Owner,450000
Alto,General,15,125000,Petrol,Individual,Manual,First_Owner,140000
Xcent,General,6,25000,Petrol,Individual,Manual,First_Owner,550000
Indigo,General,8,60000,Petrol,Individual,Manual,Second_Owner,240000
Creta,Premium,7,25000,Petrol,Individual,Manual,First_Owner,850000
Celerio,General,5,78000,CNG,Individual,Manual,First_Owner,365000
Sail,General,7,35000,Petrol,Individual,Manual,First_Owner,260000
Indigo,General,8,100000,Petrol,Individual,Manual,First_Owner,250000
Corolla,Premium,4,25000,Petrol,Dealer,Automatic,First_Owner,1650000
Maruti 800,General,15,70000,Petrol,Individual,Manual,First_Owner,60000
WagonR,General,15,50000,Petrol,Individual,Manual,First_Owner,135000
Verna,General,10,100000,Diesel,Individual,Manual,First_Owner,600000
RediGO,General,5,46000,Petrol,Individual,Manual,First_Owner,250000
Amaze,General,8,141000,Diesel,Individual,Manual,Second_Owner,450000
Alto,General,15,125000,Petrol,Individual,Manual,First_Owner,140000
Xcent,General,6,25000,Petrol,Individual,Manual,First_Owner,550000
Indigo,General,8,60000,Petrol,Individual,Manual,Second_Owner,240000
Creta,Premium,7,25000,Petrol,Individual,Manual,First_Owner,850000
Celerio,General,5,78000,CNG,Individual,Manual,First_Owner,365000
Sail,General,7,35000,Petrol,Individual,Manual,First_Owner,260000
Indigo,General,8,100000,Petrol,Individual,Manual,First_Owner,250000
Corolla,Premium,4,25000,Petrol,Dealer,Automatic,First_Owner,1650000
Ciaz,General,7,24000,Petrol,Dealer,Manual,First_Owner,585000
Venue,General,3,5000,Diesel,Dealer,Manual,First_Owner,1195000
Enjoy,General,9,33000,Diesel,Individual,Manual,Second_Owner,390000
Jaguar_XF,Premium,8,28000,Diesel,Dealer,Automatic,First_Owner,1964999
Mercedes_C_Class,Premium,9,59000,Diesel,Dealer,Automatic,First_Owner,1425000
Brezza,General,4,4500,Diesel,Dealer,Automatic,First_Owner,975000
Q5,Premium,11,175900,Diesel,Dealer,Automatic,First_Owner,1190000
Honda_City,General,4,14500,Petrol,Dealer,Manual,First_Owner,930000
Tigor,General,4,15000,Petrol,Individual,Manual,First_Owner,525000
A6,Premium,9,50000,Diesel,Dealer,Automatic,First_Owner,1735000
Mercedes_C_Class,Premium,10,33800,Diesel,Dealer,Automatic,Second_Owner,1375000
Superb_Ambition,General,11,130400,Diesel,Dealer,Automatic,Second_Owner,450000
Corolla_Altis,Premium,6,50000,Petrol,Individual,Automatic,First_Owner,900000
Toyota_Innova,Premium,7,80000,Diesel,Individual,Manual,First_Owner,1300000
Jeep_Compass,Premium,3,10000,Petrol,Individual,Manual,First_Owner,1400000
Mercedes-Benz_E-Class,Premium,12,119000,Petrol,Dealer,Automatic,First_Owner,850000
